index	Date	Time	Location	Operator	Flight	Route	Type	Registration	cn/In	Aboard	Fatalities	Ground	Summary	Latitude	Longitude
11	07/17/2007	18:52:00	Sao Paulo, Brazil	TAM (Brazil)	3054	Porto Alegre - Sao Paulo	Airbus A-320-233	PR-MBK	789	18700	1870	1200	The jet airliner crashed while attempting to land in heavy rain at Congonhas airport. The plane skidded off the end of the runway across a major roadway and struck a gas station and building, bursting into flames. One hundred seventy passengers and a crew of six were aboard.	-23550	-466333
12	11/15/1978	23:30:00	Near Katunayake, Sri Lanka	Loftleidir IcelandiAirlines	Undefined	Jeddah - Colombo	McDonnell Douglas DC-8-Super 63CF	TF-FLA	46020/415	26200	1830	0	The aircraft crashed short of the runway into a coconut plantation while attempting to land in heavy rain.  Windshear. Excessive sink rate. Crew's non-conformance with approach procedures. Incorrect information supplied by the radar controller. Lack of an approach lighting system at Bandaranaike.	714336	7986956
13	05/09/1987	11:12:00	Warsaw, Poland	LOT Polish Airlines	5055	Warsaw - New York City	Ilyushin IL-62M	SP-LBG	3344942	18300	1830	0	The No. 2 engine failed, causing an engine fire, cabin decompression, damage to the  No. 1 engine, loss of  elevator control and damage to the electrical system. A fire in the cargo hold was not detected because of damage to the fire warning system. While attempting to return to Warsaw and attempting a turn to land, the aircraft crashed into a forest, 9 miles short of the runway. The cause of the engine failure was an overheated bearing. The aircraft was named Tadeusz Kosciuszko.	522319	2100672
14	11/27/1983	10:06:00	Madrid-Barajas, Spain	AVIANCA	11	Paris - Madrid - Bogota	Boeing B-747-283B	HK-2910	21381	19200	1810	0	While attempting to land at Madrid, the crew intercepted the wrong ILS track which caused the pilot to initiate a right turn short of the VOR beacon. The aircraft impacted a series of hills during which the right wing broke off, the aircraft cartwheeled and broke into 5 pieces and came to rest upside down. Procedural errors by the crew including the pilot not knowing his precise position before descending, failure of the crew to take corrective action after a warning from the  ground proximity warning system and deficient teamwork on the flight deck.  The aircraft was named 'Magnus Viking,' LN-RNA and dry-leased from SAS.	404573	-356185
15	01/22/1973	09:30:00	Kano, Nigeria	Alia Royal Jordanian Airlines	Undefined	Jeddah - Lagos	Boeing B-707-3D3C	JY-ADO	20494/850	20200	1760	0	The landing gear collapsed after hitting a depression in the runway while landing. The aircraft ran off the side of the runway and caught fire.	118948	8536413
16	08/22/2006	15:30:00	Near Donetsk, Ukraine	Pulkovo Airlines	612	Anapa - St. Petersburg	Tupolev Tu-154M	RA-851857	894	17000	1700	0	The plane disappeared from radar shortly after making a distress call. A distress call was made at FL330 and again at FL100. The aircraft was reportly on fire before it crashed. The plane crashed in a field, 30 miles North of Donetsk and broke-up. Weather forecasters reported thunderstorms and lightning in the area at the time of the crash. The crew pushed the aircraft beyond its limits as they attempted to fly around a thunder storm. The crew steered the aircraft under manual control into an angle of attack that was beyond critical which resulted in  a stall and the subsequent transition into a flat spin and a collision with the ground. The crew's steering of the aircraft under manual control into an angle of attack that was beyond critical which resulted in a stall and subsequent transition into a flat spin and a collision with the ground.	468850	3732676
17	01/30/2000	21:08:00	Off Abidjan, Ivory Coast	Kenya Airways	431	Abidjan - Lagos	AirbusA310-304	5Y-BEN	426	17900	1690	0	The aircraft crashed into the AtlantiOcean three minutes after taking off from Felix Houphouet-Boigny Airport.  A few seconds after lifting off the ground the stall warning sounded and continued for about 20 seconds until it was manually turned off by the crew. Three seconds later the plane impacted the water. The pilot's response to an alarm that inaccurately indicated the plane had stalled. The pilot failed to complete established procedure for such an emergency. Takeoff conditions also contributed to the accident, which occurred at night, hampering the crew's ability to judge the plane's distance from the sea.	529697	-395696
18	03/31/1986	09:11:00	Maravatio, Mexico	Mexicana	940	Mexico City - Puerto Vallarta	Boeing B-727-264	XA-MEM	22414/1748	16700	1670	0	While climbing through 29,000 feet, an overheated tire exploded in the wheel well after takeoff and damaged the hydrauliand electrical systems of the aircraft. The plane lost control and crashed. The tire had been serviced with air rather than nitrogen. The air, under high temperature and pressure, resulted in a chemical reaction within the tire itself which led to a explosion of the tire.	198901	-100453
19	09/28/1992	14:30:00	Near  Kathmandu, Nepal	Pakistan International Airlines	268	Karachi - Kathmandu	Airbus A300B4-203	AP-BCP	25	16700	1670	0	The plane hit cloud covered high ground while attempting to land, 9 nm short of the runway at Bhattedanda hill. The pilot began the descent too early and had miscalculated the aircraft's altitude. Failure of the crew to follow prescribed procedures.	277019	8535101
20	06/06/1994	08:20:00	Near Xi'an, China	China Northwest Airlines	2303	Xian - Guangzhou	Tupolev TU-154M	B-2610	86A-740	16000	1600	0	The plane broke-up in flight 10 minutes after taking off. Auto-pilot induced oscillations caused the aircraft to shake violently. The autopilot yaw-channel was accidentally connected to the bank control and the bank-channel to the yaw controls.	342536	1089386
21	12/22/1992	10:00:00	Tripoli, Libya	Libya Arab Airlines / Military -  Libya Air Force	1103	Benghazi - Tripoli	Boeing B-727-2L5 / MiG23UB	5A-DIA	21050/1108	15700	1570	0	Midair collision with an Libyan Air Force fighter at 3,500 ft.	328966	1317779
22	05/12/1968	16:00:00	Kham Duc, Vietnam	Military - U.S. Air Force	Undefined	Undefined	Lockheed C-130B Hercules	60-0297	3600	15500	1550	0	Shot down by enemy fire while attempting to evacuate Kham Ducivilians.  The aircraft shook  violently, crashed and burst into flames in a ravine at the end of the airstrip.	154399	1077898
23	12/03/1972	06:45:00	Tenerife,  Canary Islands	Spantax	Undefined	Tenerife - Munchen	Convair CV-990-30A-5 Coronado	EC-BZR	30/10/2025	15500	1550	0	Reached a height of 300 feet  when the plane suddenly plunged to earth and crashed. Loss of control precipitated by abnormal maneuvers made by the pilot in command in zero visibility.	282935	-166214
24	04/04/1975	16:30:00	Saigon, Vietnam	Military - U.S. Air Force	Undefined	Tan Son AFB - Clark AFB	Lockheed C-5A Galaxy	68-218	21	33000	1550	0	The aircraft reported it was returning to Tan Son Nhut Airbase 15 minutes after taking off. The aircraft was not able to make the airport and crashed landed into a rice paddy, 1.5 miles from the airport. The flight was evacuating 243 Vietnamese orphans. Pressure failure due to a faulty rear loading ramp caused decompression which led to severed rudder and elevator cables and loss of two hydraulisystems resulting in a loss of pitch control. Worst single non-combat U.S. military aviation disaster.	107763	1067011
25	08/16/1987	20:46:00	Romulus, Michigan	Northwest Airlines	255	Detroit, MI - Phoenix, AZ	McDonnell Douglas MD-82	N312RC	48090/1040	15500	1540	200	The aircraft stalled and crashed during takeoff from Detroit Metropolitan Wayne County Airport. After liftoff, the wings of the airplane rolled to the left and right  and then the aircraft collided with obsticales northeast of the runway when the left wing struck light poles and the roof of a rental car agency. A 4-year-old girl, Cecilia Cichan, was the only survivor. Slats and flaps not extended. Crew's failure to use taxi checklist to ensure flaps and slats were extended. Lack of electrical power to the aircraft takeoff warning system. Cecelia is now married and earned a Psychology degree from the University of Alabama. Although she has made no publistatements or attended annual memorial services regarding the tragicrash, she corresponds with some of the crash victims’ loved ones.	422222	-833965
26	08/20/2008	14:45:00	Madrid, Spain	Spanair	5022	Madrid - Las Palmas, Canary Islands	McDonnell Douglas MD-82	EC-HFP 	53148/2072	17200	1540	0	The airliner crashed while attempting to takeoff. The plane was able to get slightly airborne before crashing into a ravine at the end of the runway. The plane took off without the crew extending  it's flaps and slats, but the pilots would not have known there was a problem because the alarm did not go off.	404167	-370358
27	04/25/1980	13:21:00	Tenerife, Canary Islands	Dan Air Services	1008	Manchester - Tenerife	Boeing B-727-64	G-BDAN	19279/288	14600	1460	0	The plane crashed into a mountain 5,500 ft. high at 300 mph during an approach to Tenerife. The pilot, while in a holding pattern, took the aircraft in an area of high ground not maintaining the correct altitude. Lack of communication between the pilot and co-pilot.	282935	-166214
28	07/09/1982	16:09:00	Kenner, Louisiana	Pan American World Airways	759	New Orleans - Las Vegas	Boeing B-727-235	N4737	19457/518	14500	1450	800	The aircraft crashed during a thunderstorm, 29 seconds after taking off from New Orleans International Airport. The plane reached an altitude of 95 to 150 feet and then began to descend and crashed into trees and houses bursting into flames. Microbust induced windshear. Limited capability of current ground-based low-level windshear detection technology. The aircraft was named 'Clipper Defiance.'	299942	-902417
29	07/04/2001	02:08:00	Near Irkutsk, Russia	Vladivostokavia	352	Yekaterinburg - Irkutsk - Vladivostok	Tupolev TU-154M	RA-85845	86A-735	14500	1450	0	The plane crashed and exploded in flames in Siberian woodlands near the village of Burdakovka, about 21 miles from Irkutsk. The aircraft crashed during the third turn in a landing approach to Irkutsk, an intermediate stop for refueling. The first officer was flying the plane, when at 2,600 ft., an audible alarm sounded indicating a wide angle of attack. Eleven seconds later the aircraft swung around 180 degrees and entered a flat spin. The captain ordered the engines at full throttle but it was too late and 22 seconds later the plane hit the ground, belly first, broke up and burned. Incorrect actions of the crew. Due to poor communication between pilots, they put in the wrong parameters while landing causing the plane to descend at the wrong angle. As a result, the plane stalled and entered a spin and crashed.	522897	1042938
30	02/08/1989	14:08:00	Santa Maria, Azores, Portugal	Independent Air Inc.	1851	Bergamo - Orio al Serio - Santa Maria	Boeing B-707-331B	N7231T	19572/687	14400	1440	0	The airliner hit a mountain while attempting to land at Santa Maria. The crew mistakenly continued to descend through 3,000 ft. which it was clear to. Because of a overlap in communications, the tower did not notice the mistake. The aircraft continued to descend and did not comment or react to warnings from the GPSW for 7 seconds. The aircraft then hit Pico Alto mountain at an altitude of 2,000 ft.  Procedural errors by the flight crew and ATC. Descent of the aircraft below minimum sector altitude. Transmission from the tower of a QNH value higher than the actual value.	369726	-251026
31	11/07/1996	17:00:00	Lagos, Nigeria	Aviation Development Corporation	86	Port Harcourt - Lagos	Boeing B-727-231	5N-BBF	20054/718	14300	1430	0	The plane crashed mid-way along its scheduled 50 minute route. The aircraft went into a roll and lost control after taking evasive action to avoid another aircraft. The plane was flying almost at the speed of sound when it crashed and disintegrated. ATC error. The controller thought he had cleared to aircraft to FL100 but the aircraft was still flying at FL240.	645505	3394179
32	08/29/1996	10:22:00	Spitsbergen, Norway	Vnokovo Airlines	2801	Moscow - Svalbard	Tupolev TU-154M	RA-85621	86A-742	14100	1410	0	The aircraft crashed 7 nm short of the runway into Operafjellet Mountain at an altitude of 2,900 ft. while attempting to land in poor weather. The crew did not use the usual approach which includes a turn over the ocean, but rather took a route that led through a narrow valley. Inadequate planning, unsatisfactory crew resource management and monitoring, not discontinuing the approach when procedural uncertainties existed and limited knowledge of the operating language and the actual airspace. The passengers were mainly Russian coal miners headed for a Russian mine on one of the Norwegian islands.	783109	1723059
33	12/25/2003	14:55:00	Cotonou, Benin	Union des Transports Aeriens de Guinee	141	Conakry, Guinea - Cotonou, Benin - Beirut, Lebanon	Boeing B-727-223	3X-GDO	21090	16100	1400	0	The B-727 was barely able to climb after taking off from Cotonou Airport. The landing gear struck a building housing electronics, crashed through the barrier fence and broke up along the shoreline adjacent to the airport. The plane was overloaded by 10 tons of cargo which was improperly distributed.	636769	2425250
34	09/25/1978	09:02:00	San Diego, California	PacifiSouthwest Airlines / Private	182	Los Angeles - San Diego	Boeing B-727-214 / Cessna 172	N533PS/N7711G	19688/589 / 	13700	1370	700	Midair collision. The PSA was descending and about to land at Lindbergh Field. The Cessna was climbing while engaged in practice approaches. The 727 overtook and struck the Cessna from the rear. The primary cause was the PSA crew lost sight of the Cessna and did not make that fact known to the ATC.  The ATC failed to realize from the PSA transmissions that they lost sight of the Cessna. One hundred thirty-five killed on the PSA, two on the Cessna and seven on the ground. Crew fatigue may have played a part in the accident as there are unofficial reports that the crew attended an all night party and had only 2 hours sleep from the night before.	327174	-117162
35	08/02/1985	18:06:00	Ft. Worth-Dallas, Texas	Delta Air Lines	191	Fort Lauderdale - Dallas-Fort Worth	Lockheed L-1011-1 TriStar	N726DA	1163	16300	1340	100	While on a flight from Fort Lauderdale, FL to Dallas/ Forth Worth, the aircraft crashed while making an landing attempt in thunderstorm activity. The plane touched down 6,000 feet short of the runway and 360 feet to the left of the runway centerline, became airborne again, struck a car killing the driver, crossed the highway and crashed into two water tank reservoirs. Microburst induced windshear. The flightcrew's decision to initiate and continue the approach into a cumulonimbus cloud which they observed to contain lightning. Lack of training for avoiding and escaping from low-altitude windshear.	327127	-969357
36	10/05/1991	15:00:00	Condet, Indonesia	Military - Indonesian Air Force	Undefined	Undefined	Lockheed C-130H-30	A-1324	4927	13500	1340	100	The aircraft crashed into buildings during an attempted emergency landing after an engine caught fire shortly after taking off.	-62773	1068582
37	02/04/1966	19:00:00	Tokyo Bay, Japan	All Nippon Airways	8302	Chitose - Tokyo	Boeing B-727-81	JA8302	18822/126	13300	1330	0	The jetliner crashed about 7.5 miles ESE of Tokyo International (Haneda) Airport where it was scheduled to land. The aircraft was on VFR approach and was observed at a height of 2, 000 ft. just before the crash.  Cause undetermined. Excessive sink rate is thought to have caused four 727 accidents in succession. Lake Michigan 8/16/65, Cincinnati 11/8/65, Salt Lake City 11/11/65 and Tokyo Bay 2/4/66. Only the Salt Lake and Cincinnati crashes were officially attributed to it. After 727 training manuals were modified and pilots were reoriented to the flying characteristics of the aircraft the problem was corrected.	354700	1398476
38	05/19/1993	15:04:00	Near Medellin, Colombia	SAM Colombia	501	Panama City - Medellin	Boeing B-727-46	HK-2422X	18876/217	13200	1320	0	The plane hit Mt. Paramo Frontino at 12,300 ft. while on approach to Maria Cordova Airport. Errors by the crew and the ATC. The aircraft descended into mountainous terrain before actually reaching the Abejorral NDB beacon. The VOR/DME had been sabotaged by terrorists and not in service.	629437	-755497
39	04/19/2000	07:02:00	Samal Island, Philippines	Air Philippines	541	Manila - Davao	Boeing B-737-2H4	RP-C3010	21447/508	13100	1310	0	The aircraft circled Davao airport in an attempt to land but crashed onto a coconut plantation on the mountainous Samal Island. The plane aborted a previous landing attempt because another plane was on the runway. Weather and visibility were good in the area but the landing attempt may have been hampered by low-lying clouds. The last message from the crew was that they were 7 miles from the airport on final approach. Nothing more was heard from the plane. The aircraft disintegrated upon impact near Mt. Kalangan. The elevation of the accident site was about 500 feet above sea level but the plane should have been at a altitude of 1,500 feet.	704530	1257501
40	06/03/1962	12:35:00	Villeneuve-le-Roi, Val-de-Marne, France	Air France	Undefined	Paris - New York City	Boeing B-707-328	F-BHSM	17920/159	13200	1300	0	During takeoff from Orly Airport, the nose rose for about 5 seconds and then dropped back down on the runway. Smoke streamed from the wheels as the crew tried to stop the aircraft but it ran off the runway and collided with the runway lights and a house. The only survivors were two stewardesses who were seated in the tail section which broke free in the crash. The aircraft's horizontal stabilizer was improperly trimmed due to a failure of the trim servo motor.	487350	2407700
41	11/08/1983	15:20:00	Lubango, Huila, Angola	TAAG Angola Airlines	Undefined	Lubango - Luanda	Boeing B-737-200	D2-TBN	22775	13000	1300	0	The airliner crashed immediately after takeoff.  Shot down by rebels with a surface to air missile.	-14919	1348975
42	06/30/1956	10:32:00	Grand Canyon, Arizona	United Air Lines / Trans World Airlines	718 / 2	Los Angeles - Chicago / Los Angeles - Kansas City	Douglas DC-7 / Lockheed S Constellation	N6902C/N6324C	44288 / 4016	12800	1280	0	The TWA aircraft flying from Los Angeles to Kansas City and the United Aircraft flying from Los Angeles to Chicago collided over the Grand Canyon. Both planes were traveling about 320 mph. Both aircraft were flying in uncontrolled airspace. All  fifty-eight on the DC-7 and seventy on the Constellation killed. The pilots did not see each other in time to avoid the collision. It is not possible to determine why the pilots did not see each other, but the evidence suggests that it resulted from any one or a combination of the following factors: 1) Intervening clouds reducing time for visual separation 2) Visual limitations due to cockpit visibility 3) Preoccupation with normal cockpit duties.	360977	-112096
43	12/16/1960	10:33:00	Staten Island / Brooklyn, New York	United Air Lines / Trans World Airlines	826/266	Chicago - New York City / Columbus - New York City	MD DC-8-11 / Lockheed  1049 S Const	N8013U/N6907C	45290 /4021	12800	1280	600	A midair collision took place over Staten Island at 5,000 ft. The Connie was cleared to land at La Guardia Airport on Runway 04 when the United DC-8 struck the Connie tearing it apart. The Connie immediately crashed to the ground at Miller Army Air Field on Staten Island. One passenger was sucked out into one of the DC8s jet engines. Other passengers fell from the Connie as the spinning fuselage fell onto Staten Island. The United jet tried to make an emergency landing at La Guardia Airport but could not maintain altitude and crashed into the streets of Brooklyn. Forty-four passengers on the Constellation and eight-four passengers on the DC-8 were killed. Three passengers from the DC-8 died shortly after. One young boy, Stephen Baltz survived several days before succumbing to his injuries. Six people were also killed on the ground. The United crew entered a low-altitude holding pattern at 500 miles per hour, twice the speed it should have been going and flew past the clearance limits and airspace allocated to the flight. One of 2 VORs on the DC-8 was not functioning. Although the crew knew this, they failed to report this to the ATC, who probably would have provided extra radar assistance.	406066	-740445
44	10/02/1990	09:15:00	Guangzhou, China	China Southwest Airlines / Xiamen Airlines	8301/	Guangzhou - Shanghi	Boeing B-737-247 / Boeing B-757-21B	B-2812/B-2510	24758 / 23189	22600	1280	0	Shortly after taking off a hijacker entered the cockpit and demanded to be flown to Hong Kong. The captain circled for 30 minutes and after a struggle in the cockpit, attempted to land at Guangzhou, hitting the runway hard, clipping a B-707 and crashing into a B-757. Eighty-two aboard the B-737 and 46 aboard the B-757 were killed.	231301	1132592
45	04/15/2002	11:23:00	Busan, South Korea	Air China	129	Beijing - Busan	Boeing B-767-200ER	B-2552	23308/127	16600	1280	0	The aircraft crashed onto a mountain, in fog, wind and rain while attempting to land at Kimhae Airport. A strong southerly wind required the aircraft to make a turn and approach the runway from the north. The aircraft crashed near the peak of Mt. Mulbong, approximately 3 mile north of the runway. The plane bounced three times before hitting the ground and exploding. More than 1,000 trees were uprooted by the impact. The plane was off course when the crew turned on final. Operational errors by the crew. Lack of pilot experience in landing in adverse weather conditions. First Air China fatal accident.	351799	1290752
46	07/09/2006	07:44:00	Irkutsk, Russia	Sibir (S7)	778	Moscow - Irkutsk	Airbus A-310-324ET	F-OGYP	442	20300	1280	0	The plane was landing at Irkutsk International Airport in rain and low visibility when it veered off and overran the runway, struck a building and burst into flames. It was reported the plane was traveling at a high rate of speed when it landed. Crew error. The mistaken and uncontrolled actions by the crew at the stage of slowing down after landing. The unintentional and uncontrolled movement in one of the engines, which was not detected by the crew in time.	566370	1047192
47	04/20/1967	01:13:00	Near Nicosia, Cyprus	Globe Air	Undefined	Bombay - Cairo	Bristol Britannia 175	HB-ITB	13232	13000	1260	0	The flight crashed while making a second landing attempt. Misjudgement by the pilot during approach. Both pilots exceeded their duty time by 3 hours at the time of the crash. The first officer had less than 50 hours flying time in a Britannia.	352278	3332274
48	09/03/1989	19:00:00	Near Havana, Cuba	Cubana de Aviacion	Undefined	Havana - Köln, Bonn	Ilyushin IL-62M	CU-T1281	3850453	12600	1260	4500	The aircraft crashed into navigational towers and residential houses shortly after takeoff in heavy rain and high winds. Decision to fly after an abrupt deterioration in weather conditions.	231305	-824020
49	10/19/1988	07:00:00	Near Ahmedabad, India	Indian Airlines	113	Bombay - Ahmadabad	Boeing B-737-2A8	VT-EAH	20481/271	12900	1240	0	The plane hit an electrical mast, 5 miles short of runway during an approach in fog and burst into flames.	231604	7254251
50	07/11/1973	14:03:00	Paris, Orly, France	Varig	820	Rio - de Janerio - Paris	Boeing B-707-345C	PP-VJZ	19106/683	13400	1230	0	Fire aboard the aircraft in the aft right toilet was reported and an emergency descent made. The plane was heavily damaged by fire before fire fighters could rescue passengers. Most fatalities were due to CO before rescuers could reach passengers. The fire started in the aft right toilet either from an electrical short or discarded cigarette.	487300	2367837
51	02/29/1996	20:25:00	Arequipa, Peru	Compania de Aviacion Faucett SA (Peru)	251	Lima - Arequipa	Boeing B-737-222	OB-1451	19072/86	12300	1230	0	The aircraft crashed into a hillside several miles from the airport while attempting to land. The pilot reported flying at 9,500 ft. when the aircraft was actually flying 8,640 ft. Controlled flight into terrain.	-160	-7225
52	05/20/1965	23:48:00	Cairo, Egypt	Pakistan International Airlines	705	Karachi - Dhahran - Cairo - Geneva - London	Boeing B-720-040B	AP-AMH	18379	12500	1190	0	The aircraft  crashed during its approach.The plane descended during the approach at triple the normal rate until the aircraft struck the ground. The aircraft exceeded the recommended descent rate during the final stages of landing for reasons unknown.	300443	3123572
53	11/29/1963	18:33:00	Ste. Therese de Blainville, Canada	Trans Canada Air Lines	831	Montreal - Toronto	McDonnell Douglas DC-8F-54F	CF-TJN	45654/179	11800	1180	0	The aircraft crashed about 5 minutes after leaving Dorval Airport in Montreal. Icing of the pitot system or failure of the vertical gyro or an unprogrammed and unnoticed extension of the Pitch Trim Compensator.	456515	-738028
54	04/27/1974	00:00:00	Near Leningrad, Russia	Aeroflot	Undefined	Undefined	Ilyushin IL-18B	CCCP-75559	184007703	11800	1180	0	The aircraft crashed after report of a heavy vibration and fire in the No. 4 engine. Structural failure of turbine disin No. 4 the engine.	599343	3029818
55	10/22/2005	20:40:00	Lisa, Nigeria	Bellview Airlines	3210	Lagos - Abuja	Boeing B-737-2L9	5N-BFN	22734/818	11700	1170	0	The tower lost sight and contact with the plane about five minutes after taking off from Murtala Muhammad International  airport. The plane crashed about 30 miles north of Lagos.  A storm was passing through the airport at about the time the aircraft took off.	725	36
56	07/08/2003	04:00:00	Port Sudan, Sudan	Sudan Airways	139	Port Sudan - Khartoum	Boeing 737-2J8C	ST-AFK	21169/429	11700	1160	0	The plane's crew reported technical difficulties (engine failure) 10 minutes after taking off from Port Sudan Airport. The plane crashed into a hillside, 3 miles from the airport as the crew tried to return and make emergency landing. A three-year-old boy was the only survivor.	196192	3721170
